rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
2001MM29,3,3,MM203,,7/23/2021 16:45,,7/23/2021 16:45,CORE
2001MM29,3,3,MM205,,7/23/2021 16:45,,7/23/2021 16:45,CORE
1901EE18,5,5,EE381,,3/22/2021 21:59,,3/22/2021 21:59,CORE
1901EE19,5,5,CS384,,3/24/2021 17:58,,3/24/2021 17:58,Open Elective
1801EE02,7,7,EE493,,7/23/2021 1:33,,7/23/2021 1:33,CORE
1901EE19,5,5,EE330,,3/24/2021 17:58,,3/24/2021 17:58,CORE
1801ME62,7,7,ME512,,7/23/2021 11:29,,7/23/2021 11:29,Department Elective - II
2011CE01,3,3,CE605,,3/22/2021 15:41,,3/22/2021 15:41,CORE
2011CE02,3,3,CE605,,3/22/2021 11:11,,3/22/2021 11:11,CORE
2011CE03,3,3,CE605,,3/24/2021 23:33,,3/24/2021 23:33,CORE
2011CE04,3,3,CE605,,3/25/2021 13:27,,3/25/2021 13:27,CORE
2011CE05,3,3,CE605,,3/24/2021 18:16,,3/24/2021 18:16,CORE
2011CE08,3,3,CE605,,3/22/2021 14:18,,3/22/2021 14:18,CORE
2011CE09,3,3,CE605,,3/22/2021 10:06,,3/22/2021 10:06,CORE
2011CE10,3,3,CE605,,3/22/2021 16:49,,3/22/2021 16:49,CORE
2011CE11,3,3,CE605,,3/22/2021 16:52,,3/22/2021 16:52,CORE
2011CE12,3,3,CE605,,3/23/2021 17:30,,3/23/2021 17:30,CORE
2011CE13,3,3,CE605,,3/22/2021 12:23,,3/22/2021 12:23,CORE
2011CE14,3,3,CE605,,4/10/2021 10:51,,4/10/2021 10:51,CORE
2011CE15,3,3,CE605,,3/24/2021 10:32,,3/24/2021 10:32,CORE
2011CE17,3,3,CE605,,3/24/2021 20:56,,3/24/2021 20:56,CORE
2011CE18,3,3,CE605,,3/22/2021 20:54,,3/22/2021 20:54,CORE
2011CS02,3,3,CS695,,3/22/2021 16:24,,3/22/2021 16:24,CORE
2011CS03,3,3,CS695,,3/22/2021 11:35,,3/22/2021 11:35,CORE
2011CS05,3,3,CS695,,3/23/2021 8:06,,3/23/2021 8:06,CORE
2011CS06,3,3,CS695,,3/24/2021 11:33,,3/24/2021 11:33,CORE
2011CS07,3,3,CS695,,3/23/2021 23:24,,3/23/2021 23:24,CORE
2011CS08,3,3,CS695,,3/25/2021 11:28,,3/25/2021 11:28,CORE
2011CS09,3,3,CS695,,3/22/2021 12:16,,3/22/2021 12:16,CORE
2011CS10,3,3,CS695,,3/22/2021 12:04,,3/22/2021 12:04,CORE
2011CS13,3,3,CS695,,3/25/2021 14:44,,3/25/2021 14:44,CORE
